word1           word2           human      Lin                  Resnik               Word2Vec            
secretary       senate                5.06                 -0.0                 -0.0    3.511750102043152
energy          laboratory            5.09   0.9342112258117007   0.8017591149538994   2.5554758310317993
computer        laboratory            6.78   1.3377959985558243   1.2900256809649917   3.7206149101257324
weapon          secret                6.06                 -0.0                 -0.0   3.3813226222991943
FBI             fingerprint           6.94   0.5133839883064533   0.5962292078977726     3.04060697555542
FBI             investigation         8.31   0.5436899923349531   0.5962292078977726    6.255638599395752
investigation   effort                4.59   1.9661809151931997   1.5927548636075812   3.8068655133247375
Mars            water                 2.94   0.8169920991314521   0.8017591149538994   1.8807092308998108
Mars            scientist             5.63    1.762883740283928   1.5318337432196856    2.787550687789917
news            report                8.16    3.273229561285036     2.61964384137646    5.350134372711182
canyon          landscape             7.53   1.1382009652319542   1.2900256809649917   1.8751831352710724
image           surface               4.56                 -0.0                 -0.0   2.2894981503486633
discovery       space                 6.34   0.7530187782625699   0.5962292078977726    4.567443430423737
water           seepage               6.56   0.5602256351572972   0.5962292078977726   3.1824424862861633
sign            recess                2.38   0.5267988610636135   0.5962292078977726   0.9215089678764343
Wednesday       news                  2.22   0.6584187826273009   0.5962292078977726    5.298130512237549
mile            kilometer             8.66    5.776900866754902    6.060679964128936    7.659144997596741
computer        news                  4.47                 -0.0                 -0.0   2.2970016300678253
territory       surface               5.34   2.5998822955933463   1.2900256809649917   1.9156049191951752
atmosphere      landscape             3.69                 -0.0                 -0.0   2.7286499738693237
president       medal                  3.0                 -0.0                 -0.0   1.6065087914466858
war             troops                8.13   0.7105335913960591   0.5962292078977726    5.142254829406738
record          number                6.31   0.8448848860677438   0.5962292078977726   3.3601921796798706
skin            eye                   6.22    4.902355662409748    4.402249455139793   4.8816752433776855
Japanese        American               6.5    6.928947328098976     6.10342444391276    4.020442068576813
theater         history               3.91                 -0.0                 -0.0   2.8217095136642456
volunteer       motto                 2.56                 -0.0                 -0.0    2.219620943069458
prejudice       recognition            3.0   0.5510899241582469   0.5962292078977726   1.3796430826187134
decoration      valor                 5.63                 -0.0                 -0.0    4.478277266025543
century         year                  7.59    4.841384158027682    3.800372388500703   3.3033132553100586
century         nation                3.16   0.7718770112725837   0.5962292078977726    3.139500617980957
delay           racism                1.19 1.1924584157955451e-299   0.5962292078977726   0.8707167953252792
delay           news                  3.31   0.7200864183281619   0.5962292078977726   2.0170389115810394
minister        party                 6.63                 -0.0                 -0.0    4.067522287368774
peace           plan                  4.75   0.7604322709442058   0.5962292078977726     4.27336722612381
minority        peace                 3.69   0.5744988757171025   0.5962292078977726    2.028040438890457
attempt         peace                 4.25    0.767538352473955   0.5962292078977726   2.9296210408210754
government      crisis                6.56   0.7435265673500501   0.5962292078977726    4.442901611328125
deployment      departure             4.25   2.1155271370973843   2.3322377550841122   3.3039620518684387
deployment      withdrawal            5.88   1.7187073310385637   2.3322377550841122    5.547027587890625
energy          crisis                5.94                 -0.0                 -0.0   3.4184563159942627
announcement    news                  7.56    4.200520026828896   3.8478154212435802    4.760008752346039
announcement    effort                2.75   0.7272141646065312   0.5962292078977726    3.231061100959778
stroke          hospital              7.03                 -0.0                 -0.0    2.915303409099579
disability      death                 5.47   0.6458212291145071   0.5962292078977726   2.4719834327697754
victim          emergency             6.47                 -0.0                 -0.0   2.0126818120479584
treatment       recovery              7.91   2.1564370436353024    2.036327717785946   2.8247693181037903
journal         association           4.97    0.698350146036528   0.5962292078977726   3.2041016221046448
doctor          personnel              5.0                 -0.0                 -0.0   1.6195933520793915
doctor          liability             5.19                 -0.0                 -0.0   0.7549694925546646
liability       insurance             7.03     0.51993526566917   0.5962292078977726    5.340593457221985
school          center                3.44                 -0.0                 -0.0    3.333100378513336
reason          hypertension          2.31    0.575886026408655   0.5962292078977726   0.7661744207143784
reason          criterion             5.91   0.8866038055590697   0.5962292078977726   1.7658378183841705

Mean Squared Errors
Lin method error: 20.87
Resnick method error: 20.74
Vector-based method error: 10.38
